"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"96","0.535367","73.85.80.81","192.168.0.8","UDP","96","","6881  >  54222 Len=54"
"97","0.535578","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7df6) [Reassembled in #98]"
"98","0.535578","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"99","0.535833","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"100","0.535833","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"101","0.535900","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"102","0.535900","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"103","0.535900","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"104","0.536000","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7df8) [Reassembled in #105]"
"105","0.536000","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"106","0.536076","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dfa) [Reassembled in #107]"
"107","0.536076","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"108","0.536140","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dfc) [Reassembled in #109]"
"109","0.536140","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"110","0.536196","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dfe) [Reassembled in #111]"
"111","0.536196","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"112","0.536343","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e00) [Reassembled in #113]"
"113","0.536343","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"114","0.546327","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"115","0.546327","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"116","0.546481","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e02) [Reassembled in #117]"
"117","0.546481","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"118","0.546687","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e04) [Reassembled in #119]"
"119","0.546687","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"120","0.546767","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e06) [Reassembled in #121]"
"121","0.546767","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"122","0.546841","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e08) [Reassembled in #123]"
"123","0.546841","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"124","0.614824","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"125","0.614824","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"126","0.614824","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"127","0.615067","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e0a) [Reassembled in #128]"
"128","0.615067","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"129","0.615170","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e0c) [Reassembled in #130]"
"130","0.615170","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"131","0.615365","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e0e) [Reassembled in #132]"
"132","0.615365","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"133","0.615563","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e10) [Reassembled in #134]"
"134","0.615563","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"135","0.615664","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e12) [Reassembled in #136]"
"136","0.615664","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"137","0.634201","192.168.0.8","188.95.54.54","TCP","58","4","16992  >  4000 [PSH, ACK] Seq=1 Ack=1 Win=517 Len=4"
"138","0.678157","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"139","0.678157","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"140","0.678351","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e14) [Reassembled in #141]"
"141","0.678351","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
